#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AE17,epb_data<5>,IOB,IO_L8N_D2_FS2_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE18,,IOBS,IO_L8N_CC_GC_4,UNUSED,,4,,,,,,,,,
AE19,epb_data<6>,IOB,IO_L9P_D1_FS1_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE20,,,GND,,,,,,,,,,,,
AE21,epb_data<2>,IOB,IO_L7P_D5_2,BIDIR,LVCMOS33,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE22,epb_addr<1>,IOB,IO_L3P_A21_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AE23,epb_addr<0>,IOB,IO_L3N_A20_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AE24,adcmkid1_DI_n<4>,IOB,IO_L19N_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE25,,,GND,,,,,,,,,,,,
AE26,adcmkid1_DI_n<10>,IOB,IO_L16N_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE27,adcmkid1_DI_p<10>,IOB,IO_L16P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AE28,adcmkid1_DI_p<3>,IOB,IO_L7P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AE29,adcmkid1_DI_p<0>,IOB,IO_L15P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,YES,DIFF_TERM,
AE30,,,VCCO_17,,,17,,,,,any******,,,,
